,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
96,views,0,25,36869970,4008,1,1889,1037617,19,1796
97,views,0,25,36911594,4008,0,1889,1037617,16,1796
98,views,2,25,31983790,4008,0,1889,1037617,18,1796
99,views,0,25,31158007,4008,0,1889,1037617,19,1796
100,views,0,25,36772256,4008,0,1889,1037617,16,1796
162,views,0,0,31035252,484,0,436,1941253,8,1080
219,views,0,47,31539633,12329,0,333,1081340,18,1286
280,views,0,0,33292959,1639,0,301,4517234,9,1106
378,views,0,542,33916406,21766,0,1793,138601,10,1593
379,views,1,542,31986551,21766,0,1793,138601,6,1593
380,views,4,542,11701164,21766,1,1793,138601,14,1593
381,views,3,542,33780531,21766,0,1793,138601,16,1593
417,views,1,227,26495733,4997,0,837,1090438,16,873
418,views,0,227,37549037,4997,1,837,1090438,19,873
424,views,3,49,37413576,6421,0,485,514438,18,885
425,views,0,49,23957655,6421,0,485,514438,17,885
472,views,0,48,32712577,29437,0,671,26414,19,3020
495,views,0,117,27007177,41861,0,1090,665261,10,3130
501,views,0,31,28769205,2741,-2,5141,604687,16,1176
507,views,0,543,36342868,4631,0,575,3160466,19,7805
578,views,0,82,35622289,20807,0,4920,1205871,14,2144
591,views,0,18,33520448,11770,0,697,920568,20,1657
592,views,0,18,31388860,11770,0,697,920568,19,1657
610,views,1,208,37441213,13631,-1,802,153865,11,2634
611,views,0,208,32077587,13631,0,802,153865,17,2634
612,views,0,208,37617764,13631,0,802,153865,10,2634
613,views,0,208,32570575,13631,0,802,153865,9,2634
614,views,0,208,37252356,13631,1,802,153865,18,2634
653,views,4,4010,37591016,4642,0,300,3270037,15,1516
654,views,2,4010,37311632,4642,0,300,3270037,19,1516
659,views,2,855,37137191,44166,0,2303,6241235,15,3943
660,views,1,855,36896267,44166,0,2303,6241235,17,3943
670,views,0,31,37347077,19910,0,234,477415,19,1790
671,views,0,31,37300056,19910,0,234,477415,17,1790
806,views,0,196,37258782,10210,0,139,1573861,17,919
839,views,0,18,32349734,2320,0,36,1523914,20,974
841,views,2,31,37749161,17473,1,709,150342,18,922
842,views,0,31,36739573,17473,0,709,150342,15,922
862,views,0,657,33918684,1678,0,432,836018,14,1410
865,views,5,69,37754590,3940,0,1001,913903,14,2455
871,views,0,1,36722974,20711,0,81,200609,17,916
903,views,2,1483,24547017,10736,0,2293,1814486,20,2149
921,views,0,273,37266602,76835,0,2898,5133585,12,4531
922,views,0,273,37114988,76835,0,2898,5133585,16,4531
923,views,0,273,37769743,76835,0,2898,5133585,3,4531
924,views,0,273,37358523,76835,1,2898,5133585,20,4531
925,views,1,273,35827330,76835,1,2898,5133585,16,4531
926,views,0,273,36967604,76835,1,2898,5133585,20,4531
927,views,0,273,35251997,76835,0,2898,5133585,18,4531
928,views,0,273,37083918,76835,1,2898,5133585,13,4531
929,views,0,273,33181901,76835,0,2898,5133585,16,4531
1024,views,0,277,37261378,13736,1,1961,3536236,18,2198
1025,views,0,277,35875750,13736,0,1961,3536236,17,2198
1026,views,5,277,35486603,13736,1,1961,3536236,13,2198
1027,views,3,3,37499461,7953,0,214,775359,18,2283
1028,views,1,18,34121531,8173,0,59,1320129,18,1296
1029,views,0,18,37298722,8173,0,59,1320129,17,1296
1030,views,2,18,36668213,8173,0,59,1320129,19,1296
1031,views,0,18,34696194,8173,1,59,1320129,17,1296
1032,views,4,18,23539106,8173,0,59,1320129,18,1296
1033,views,0,18,37316193,8173,0,59,1320129,17,1296
1034,views,0,18,33296677,8173,0,59,1320129,19,1296
1035,views,2,18,29328060,8173,0,59,1320129,19,1296
1129,views,0,29,37414935,2859,0,498,846281,11,904
1130,views,6,29,37366234,2859,-1,498,846281,13,904
1131,views,0,29,27168606,2859,0,498,846281,20,904
1132,views,0,29,33442506,2859,0,498,846281,20,904
